url,age_verification_present,matched_snippets,providers_found,info_url,redirected_url,av_statement_protest,error
xhamster.desi,TRUE,"age verification privacy policy [english] · yoti | safeguarding 
 onboarding and access management 
 verify and authenticate users 
 legally compliant contra | tal id app for consumers 
 
 age verification 
 
 age checks in seconds 
 
 
 
 facial age estimation 
 
 sel | age verification privacy policy [english] · yoti | this check uses your credit card details to verify your age. you’ll be asked to enter your  credit card detai | e of birth and national id number and use this to confirm your age. we never store or share your details with anyone",yoti,http://www.yoti.com/privacy/age-verification?utm_source=AVS&utm_campaign=AVS_Traffic_Global#cookies,https://www.yoti.com/privacy/age-verification/?utm_source=AVS&utm_campaign=AVS_Traffic_Global#cookies,FALSE,
xhamster2.com,TRUE,"age verification privacy policy [english] · yoti | safeguarding 
 onboarding and access management 
 verify and authenticate users 
 legally compliant contra | tal id app for consumers 
 
 age verification 
 
 age checks in seconds 
 
 
 
 facial age estimation 
 
 sel | age verification privacy policy [english] · yoti | this check uses your credit card details to verify your age. you’ll be asked to enter your  credit card detai | e of birth and national id number and use this to confirm your age. we never store or share your details with anyone",yoti,http://www.yoti.com/privacy/age-verification?utm_source=AVS&utm_campaign=AVS_Traffic_Global#cookies,https://www.yoti.com/privacy/age-verification/?utm_source=AVS&utm_campaign=AVS_Traffic_Global#cookies,FALSE,
youporn.com,FALSE,,,,,TRUE,
xhaccess.com,FALSE,,,,,FALSE,
pornhat.com,FALSE,,,,,FALSE,
redtube.com,FALSE,,,,,TRUE,
xhopen.com,FALSE,,,,,FALSE,
xhamster19.com,TRUE,"age verification privacy policy [english] · yoti | safeguarding 
 onboarding and access management 
 verify and authenticate users 
 legally compliant contra | tal id app for consumers 
 
 age verification 
 
 age checks in seconds 
 
 
 
 facial age estimation 
 
 sel | age verification privacy policy [english] · yoti | this check uses your credit card details to verify your age. you’ll be asked to enter your  credit card detai | e of birth and national id number and use this to confirm your age. we never store or share your details with anyone",yoti,http://www.yoti.com/privacy/age-verification?utm_source=AVS&utm_campaign=AVS_Traffic_Global#cookies,https://www.yoti.com/privacy/age-verification/?utm_source=AVS&utm_campaign=AVS_Traffic_Global#cookies,FALSE,
tubegalore.com,FALSE,,,,,TRUE,
tiava.com,FALSE,,,,,TRUE,
tubesafari.com,FALSE,,,,,FALSE,
pornzog.com,FALSE,,,,,FALSE,
thumbzilla.com,FALSE,,,,,TRUE,
clips4sale.com,FALSE,,,,,FALSE,
xxxbp.tv,FALSE,,,,,FALSE,